"URN","LA (code)","LA (name)","EstablishmentNumber","EstablishmentName","TypeOfEstablishment (code)","TypeOfEstablishment (name)","EstablishmentTypeGroup (code)","EstablishmentTypeGroup (name)","EstablishmentStatus (code)","EstablishmentStatus (name)","ReasonEstablishmentOpened (code)","ReasonEstablishmentOpened (name)","OpenDate","ReasonEstablishmentClosed (code)","ReasonEstablishmentClosed (name)","CloseDate","PhaseOfEducation (code)","PhaseOfEducation (name)","StatutoryLowAge","StatutoryHighAge","Boarders (code)","Boarders (name)","NurseryProvision (name)","OfficialSixthForm (code)","OfficialSixthForm (name)","Gender (code)","Gender (name)","ReligiousCharacter (code)","ReligiousCharacter (name)","ReligiousEthos (name)","Diocese (code)","Diocese (name)","AdmissionsPolicy (code)","AdmissionsPolicy (name)","SchoolCapacity","SpecialClasses (code)","SpecialClasses (name)","CensusDate","NumberOfPupils","NumberOfBoys","NumberOfGirls","PercentageFSM","TrustSchoolFlag (code)","TrustSchoolFlag (name)","Trusts (code)","Trusts (name)","SchoolSponsorFlag (name)","SchoolSponsors (name)","FederationFlag (name)","Federations (code)","Federations (name)","UKPRN","FEHEIdentifier","FurtherEducationType (name)","OfstedLastInsp","OfstedSpecialMeasures (code)","OfstedSpecialMeasures (name)","LastChangedDate","Street","Locality","Address3","Town","County (name)","Postcode","SchoolWebsite","TelephoneNum","HeadTitle (name)","HeadFirstName","HeadLastName","HeadHonours","HeadPreferredJobTitle","InspectorateName (name)","InspectorateReport","DateOfLastInspectionVisit","NextInspectionVisit","TeenMoth (name)","TeenMothPlaces","CCF (name)","SENPRU (name)","EBD (name)","PlacesPRU","FTProv (name)","EdByOther (name)","Section41Approved (name)","SEN1 (name)","TypeOfResourcedProvision (name)","ResourcedProvisionOnRoll","ResourcedProvisionCapacity","SenUnitOnRoll","SenUnitCapacity","GOR (code)","GOR (name)","DistrictAdministrative (code)","DistrictAdministrative (name)","AdministrativeWard (code)","AdministrativeWard (name)","ParliamentaryConstituency (code)","ParliamentaryConstituency (name)","UrbanRural (code)","UrbanRural (name)","GSSLACode (name)","Easting","Northing","CensusAreaStatisticWard (name)","MSOA (name)","LSOA (name)","Inspectorate (name)","SENStat","SENNoStat","BoardingEstablishment (name)","PropsName","PreviousLA (code)","PreviousLA (name)","PreviousEstablishmentNumber","OfstedRating (name)","RSCRegion (name)","Country (name)","UPRN","SiteName"
100000,"201","City of London","3614","Sir John Cass's Foundation Primary School","02","Voluntary aided school","4","LA maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","02","Church of England","Does not apply","CE23","Diocese of London","0","Not applicable",286,"2","No Special Classes","19-01-2017","276","140","135","12","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","19-04-2013","0","Not applicable","16-09-2017","St James's Passage","Duke's Place","","London","","EC3A 5DE","www.sirjohncassprimary.org","02072831147","Mr","Tim","Wilson","","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","H","London","E09000001","City of London","E05009310","Tower","E14000639","Cities of London and Westminster","A1","Urban major conurbation","E09000001",533498,181201,"","City of London 001","City of London 001F","","","","","","999","","","Outstanding","South Central & North West London","","200000071925",""
100001,"201","City of London","6005","City of London School for Girls","11","Other independent school","3","Independent schools","1","Open","00","Not applicable","01-01-1920","00","Not applicable","","0","Not applicable",7,18,"1","No boarders","No Nursery Classes","1","Has a sixth form","2","Girls","06","None","Church of England","0000","Not applicable","5","Not collected",734,"2","No Special Classes","19-01-2017","727","0","725","..","0","Not applicable","","","Not applicable","","Not applicable","","",10013279,"","Not applicable","","0","Not applicable","28-07-2017","St Giles' Terrace","Barbican","","London","","EC2Y 8BB","http://www.clsg.org.uk","02078475500","Mrs","Ena","Harrop","Ba, M.Phil,Ma","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","H","London","E09000001","City of London","E05009302","Cripplegate","E14000639","Cities of London and Westminster","A1","Urban major conurbation","E09000001",532301,181746,"","City of London 001","City of London 001B","ISI",0,48,"","Corporation of London","999","","","","South Central & North West London","","200000074660",""
100002,"201","City of London","6006","St Paul's Cathedral School","11","Other independent school","3","Independent schools","1","Open","00","Not applicable","01-01-1939","00","Not applicable","","0","Not applicable",4,13,"3","Boarding school","No Nursery Classes","2","Does not have a sixth form","3","Mixed","02","Church of England","Christian","0000","Not applicable","5","Not collected",250,"2","No Special Classes","19-01-2017","248","145","105","","0","Not applicable","","","Not applicable","","Not applicable","","",10018890,"","Not applicable","","0","Not applicable","29-09-2017","2 New Change","","","London","","EC4M 9AD","http://www.stpauls.co.uk/school/school.htm","02072485156","Mr","Simon","Larter Evans","","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","H","London","E09000001","City of London","E05009304","Farringdon Within","E14000639","Cities of London and Westminster","A1","Urban major conurbation","E09000001",532160,181151,"","City of London 001","City of London 001F","ISI",0,0,"","Dean and Chapter of St Paul's","999","","","","South Central & North West London","","200000072075",""
100003,"201","City of London","6007","City of London School","11","Other independent school","3","Independent schools","1","Open","00","Not applicable","01-01-1919","00","Not applicable","","0","Not applicable",10,18,"1","No boarders","No Nursery Classes","1","Has a sixth form","1","Boys","06","None","None","0000","Not applicable","5","Not collected",950,"2","No Special Classes","19-01-2017","928","930","0","..","0","Not applicable","","","Not applicable","","Not applicable","","",10008165,"","Not applicable","","0","Not applicable","28-07-2017","Queen Victoria Street","","","London","","EC4V 3AL","http://www.clsb.org/","02074890291","Ms","Sarah","Fletcher","","Head","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","H","London","E09000001","City of London","E05009304","Farringdon Within","E14000639","Cities of London and Westminster","A1","Urban major conurbation","E09000001",531981,180844,"","City of London 001","City of London 001F","ISI",0,125,"","Corporation of London","999","","","","South Central & North West London","","100022936607",""
100004,"202","Camden","1045","Sherborne Nursery School","15","Local authority nursery school","4","LA maintained schools","2","Closed","00","Not applicable","","00","Not applicable","31-08-1992","1","Nursery",3,5,"1","No boarders","Not applicable","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable","","0","Not applicable","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","24-09-2015","Priestly House","Athlone Street","","London","","NW5 4LP","","02074852375","","","","","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","H","London","E09000007","Camden","E05000136","Haverstock","E14000750","Holborn and St Pancras","A1","Urban major conurbation","E09000007",528515,184869,"","Camden 007","Camden 007D","","","","","","999","","","","South Central & North West London","","200163898",""
100005,"202","Camden","1048","Thomas Coram Centre","15","Local authority nursery school","4","LA maintained schools","1","Open","00","Not applicable","","00","Not applicable","","1","Nursery",3,5,"1","No boarders","Has Nursery Classes","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable","","0","Not applicable","19-01-2017","123","60","65","25.8","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","06-06-2014","0","Not applicable","16-09-2017","49 Mecklenburgh Square","","","London","","WC1N 2NY","http://www.thomascoram.camden.sch.uk/","02075200385","Ms","Perina","Holness","","Head Teacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","H","London","E09000007","Camden","E05000141","King's Cross","E14000750","Holborn and St Pancras","A1","Urban major conurbation","E09000007",530464,182403,"","Camden 025","Camden 025B","","","","","","999","","","Outstanding","South Central & North West London","","5088037",""
100006,"202","Camden","1100","CCfL Key Stage 4 PRU","14","Pupil referral unit","4","LA maintained schools","1","Open","00","Not applicable","01-09-1999","00","Not applicable","","0","Not applicable",14,16,"1","No boarders","Not applicable","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable","","0","Not applicable","19-01-2017","33","20","10","39.4","0","Not applicable","","","Not applicable","","Not applicable","","",10016665,"","Not applicable","25-04-2014","0","Not applicable","16-09-2017","Agincourt Road","","","London","","NW3 2NY","http://ccfl.camden.sch.uk","02079748906","Ms","Elizabeth","Rattue","","Headteacher","Not applicable","","","","Does not provide places for Teen Mothers","","Does not have child care facilities","PRU Does have Provision for SEN","PRU Does not have EBD provision","","PRU does offer full time provision","Does not offer tuition by another provider","Not applicable","","","","","","","H","London","E09000007","Camden","E05000134","Gospel Oak","E14000750","Holborn and St Pancras","A1","Urban major conurbation","E09000007",527663,185479,"","Camden 006","Camden 006B","","","","","","999","","","Good","South Central & North West London","","5109310",""
100007,"202","Camden","1101","Camden Primary Pupil Referral Unit","14","Pupil referral unit","4","LA maintained schools","1","Open","00","Not applicable","","00","Not applicable","","0","Not applicable",5,11,"1","No boarders","Not applicable","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",20,"0","Not applicable","19-01-2017","19","15","0","78.9","0","Not applicable","","","Not applicable","","Not applicable","","","","","Not applicable","27-03-2015","0","Not applicable","16-09-2017","Robson House,","74 Stanhope Street","","London","","NW1 3EX","http://www.robsonhouse.org.uk/main/","02037720370","Ms","Bavaani","Nanthabalan","","Executive Head","Not applicable","","","","Not applicable","","Not applicable","PRU Does have Provision for SEN","PRU Does have EBD provision","","PRU does offer full time provision","Not applicable","Not applicable","SEMH - Social, Emotional and Mental Health","SEN Unit","","",20,20,"H","London","E09000007","Camden","E05000142","Regent's Park","E14000750","Holborn and St Pancras","A1","Urban major conurbation","E09000007",529082,182617,"","Camden 023","Camden 023B","","","","","","999","","","Good","South Central & North West London","","10091911459",""
100008,"202","Camden","2019","Argyle Primary School","01","Community school","4","LA maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",432,"2","No Special Classes","19-01-2017","396","200","200","28.3","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","29-01-2015","0","Not applicable","16-09-2017","Tonbridge Street","","","London","","WC1H 9EG","http://www.argyle.camden.sch.uk/","02078374590","Ms","Jemima","Wade","","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","H","London","E09000007","Camden","E05000141","King's Cross","E14000750","Holborn and St Pancras","A1","Urban major conurbation","E09000007",530238,182761,"","Camden 025","Camden 025C","","","","","","999","","","Good","South Central & North West London","","5090707",""
